statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
보은군청앞 스포츠사업단 대형주차장,ME174118,01,06,충청북도 보은군 보은읍 성주리 288-6,스포츠 사업단 대형주차장 해병대 전우회 건물옆,null,36.4910864,127.7304676,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155706,20260305154101,20260305162406,,,50,단독,43,43720,B0,B004,Y,,N,,N,,N,2017,1,F,시그넷
강화풍물시장 공영주차장,ME174119,01,06,인천광역시 강화군 강화읍 갑곳리 849,고엽제전우회 건물 옆,null,37.7404676,126.4919478,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155239,20260301180304,20260301181720,,,50,단독,28,28710,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
계산1택지 공영주차장,ME174120,01,06,인천광역시 계양구 계산동 1060,구두수선방 옆,null,37.540182019,126.73630068,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155410,20260307081520,20260307085627,,,50,단독,28,28245,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,ME174125,01,06,인천광역시 서구 원삭로 160,주차장 입구 우측 완속충전기 옆,null,37.509973287,126.64197627,평일08:30~18:00,ME,환경부,환경부,1661-9408,2,20260307155410,20260306114816,20260306123116,,,50,단독,28,28260,F0,F001,Y,,N,,N,,N,2017,1,F,시그넷
영흥수산물직판장 주차장,ME174127,01,06,인천광역시 옹진군 영흥면 내리 8-165,공중화장실 옆,null,37.2551047,126.4981467,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155658,20260307140448,20260307141538,20260307154753,,50,단독,28,28720,B0,B004,N,,N,,N,,N,2017,1,F,시그넷
도원역 부근 공영주차장,ME174128,01,06,인천광역시 중구 도원동 5-7,주차장 입구,null,37.467239217,126.64140301,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155412,20260306143317,20260306145543,,,50,단독,28,28110,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
갈현동 주민센터 주차장,ME174131,01,06,경기도 과천시 갈현동 679,주민센터 입구앞,null,37.419407323,126.98891498,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155354,20260307101924,20260307110014,,,50,단독,41,41290,A0,A002,Y,,N,,N,,N,2017,1,F,시그넷
남양주 시청,ME174134,01,06,경기도 남양주시 금곡동 185-10,옥외 주차장,null,37.6363052,127.2177977,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155355,20260307082014,20260307084548,,,50,단독,41,41360,A0,A001,N,,N,,N,,N,2017,1,F,시그넷
갯골생태공원,ME174140,01,06,경기도 시흥시 장곡동 724-32,오른쪽 주차장 입구 오른쪽 끝부지,null,37.3888368,126.7806444,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155402,20260307133042,20260307141422,,,50,단독,41,41390,D0,D001,Y,,N,,N,,N,2017,1,F,시그넷
한강유역환경청,ME174152,01,06,경기도 하남시 미사강변 한강로 299,지하주차장 입구 앞,null,37.570580700,127.19452200,07:00~24:00,ME,환경부,환경부,1661-9408,2,20260307155405,20260306211251,20260306215916,,,50,단독,41,41450,A0,A003,Y,,N,,N,,N,2017,1,F,시그넷
유승기업(현대블루핸즈),ME174154,01,06,대전광역시 서구 계룡로 510,현대사무실 옆,null,36.3436911,127.3804383,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155351,20260306093804,20260306101705,,,50,단독,30,30170,F0,F001,Y,,N,,N,,N,2017,1,F,시그넷
오월드 내 주차장,ME174162,01,06,대전광역시 중구 사정동 142,플라워랜드 주차장,null,36.290862911,127.39720409,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155537,20260307123001,20260307131306,,,50,단독,30,30140,B0,B004,Y,,N,,N,,N,2017,1,F,시그넷
기흥(부산) 휴게소,ME178003,01,06,경기도 용인시 기흥구 공세로 173 (공세동),null,null,37.2356557,127.105021,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155415,20260307122536,20260307130227,,,50,단독,41,41460,C0,C001,Y,,N,,N,,N,2017,1,F,채비
기흥(부산) 휴게소,ME178003,02,06,경기도 용인시 기흥구 공세로 173 (공세동),null,null,37.2356557,127.105021,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155459,20260307133748,20260307141904,20260307153958,,50,단독,41,41460,C0,C001,Y,,N,,N,,N,2017,1,F,채비
김천(부산) 휴게소,ME178004,01,06,경상북도 김천시 농소면 경부고속도로 193 (신촌리),null,null,36.129385,128.164209,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155428,20260307141419,20260307142645,20260307155424,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,1,F,채비
김천(부산) 휴게소,ME178004,02,06,경상북도 김천시 농소면 경부고속도로 193 (신촌리),null,null,36.129385,128.164209,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155213,20260307132129,20260307134054,,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,1,F,채비
김천(서울) 휴게소,ME178005,01,06,경상북도 김천시 농소면 경부고속도로 194 (신촌리),null,null,36.1307247,128.1632209,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155536,20260304214501,20260304214758,,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,1,F,채비
김천(서울) 휴게소,ME178005,02,06,경상북도 김천시 농소면 경부고속도로 194 (신촌리),null,null,36.1307247,128.1632209,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155420,20260307130948,20260307135014,,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,1,F,채비
칠곡(부산) 휴게소,ME178006,01,06,경상북도 칠곡군 왜관읍 경부고속도로 159,null,null,36.02025,128.4292831,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260307155355,20260307152449,20260307154646,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,1,F,채비
칠곡(부산) 휴게소,ME178006,02,06,경상북도 칠곡군 왜관읍 경부고속도로 159,null,null,36.02025,128.4292831,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260307155555,20260307150331,20260307153636,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,1,F,채비
칠곡(부산) 휴게소,ME178006,03,06,경상북도 칠곡군 왜관읍 경부고속도로 159,null,null,36.02025,128.4292831,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260307155641,20260307120324,20260307121549,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,1,F,채비
칠곡(부산) 휴게소,ME178006,04,06,경상북도 칠곡군 왜관읍 경부고속도로 159,null,null,36.02025,128.4292831,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,3,20260307155556,20260307122104,20260307123449,20260307153051,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,1,F,채비
신탄진(서울) 휴게소,ME178008,01,06,대전광역시 대덕구 산업단지로 27 (상서동) 236-1,null,null,36.4253780,127.4184083,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155339,20260307152530,20260307153446,,,50,단독,30,30230,C0,C001,Y,,N,,N,,N,2017,1,F,채비
서울만남(부산) 휴게소,ME178009,01,06,서울특별시 서초구 양재대로12길 73-71 (원지동),null,null,37.4600218,127.0420378,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155555,20260307095754,20260307101329,20260307154053,,50,단독,11,11650,C0,C001,Y,,N,,N,,N,2017,1,F,채비
서울만남(부산) 휴게소,ME178009,02,06,서울특별시 서초구 양재대로12길 73-71 (원지동),null,null,37.4600218,127.0420378,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155424,20260307105540,20260307113225,20260307152910,,50,단독,11,11650,C0,C001,Y,,N,,N,,N,2017,1,F,채비
입장거봉포도(서울) 휴게소,ME178010,01,06,충청남도 천안시 서북구 입장면 연곡길 407,null,null,36.9427836,127.1943661,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155639,20260307155141,20260307155607,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
입장거봉포도(서울) 휴게소,ME178010,02,06,충청남도 천안시 서북구 입장면 연곡길 407,null,null,36.9427836,127.1943661,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155602,20260307143844,20260307144713,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
천안삼거리(서울) 휴게소,ME178011,01,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,null,null,36.7882107,127.1735101,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155707,20260307150504,20260307155217,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
천안삼거리(서울) 휴게소,ME178011,02,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,null,null,36.7882107,127.1735101,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155431,20260307154350,20260307154651,20260307155431,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
천안삼거리(서울) 휴게소,ME178011,03,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,null,null,36.7882107,127.1735101,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155302,20260307130922,20260307135258,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
금강(부산) 휴게소,ME178012,01,06,충청북도 옥천군 동이면 금강로 596 (조령리),null,null,36.2791549,127.6736776,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155607,20260307124433,20260307131231,,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,1,F,채비
금강(부산) 휴게소,ME178012,02,06,충청북도 옥천군 동이면 금강로 596 (조령리),null,null,36.2791549,127.6736776,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155529,20260307150321,20260307154351,,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,1,F,채비
금강(부산) 휴게소,ME178012,03,06,충청북도 옥천군 동이면 금강로 596 (조령리),null,null,36.2791549,127.6736776,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155520,20260307144640,20260307152945,,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,1,F,채비
통도사(부산) 휴게소,ME178013,01,06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),null,null,35.4885288,129.0914428,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155519,20260307132201,20260307134830,,,50,단독,48,48330,C0,C001,Y,,N,,N,,N,2017,1,F,채비
통도사(부산) 휴게소,ME178013,02,06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),null,null,35.4885288,129.0914428,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155529,20260307132441,20260307140546,20260307154901,,50,단독,48,48330,C0,C001,Y,,N,,N,,N,2017,1,F,채비
통도사(부산) 휴게소,ME178013,03,06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),null,null,35.4885288,129.0914428,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155529,20260307114934,20260307115229,20260307154005,,50,단독,48,48330,C0,C001,Y,,N,,N,,N,2017,1,F,채비
옥산(부산) 휴게소,ME178014,01,06,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (오산리),null,null,36.6567726,127.3703995,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155506,20260307141709,20260307144804,,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,1,F,채비
옥천만남 휴게소,ME178016,01,06,충청북도 옥천군 옥천읍 중앙로 135 (삼양리),null,null,36.3079099,127.5731265,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155439,20260305174009,20260305175534,,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,1,F,채비
음성(남이) 휴게소,ME178017,01,06,충청북도 음성군 삼성면 용성리 산 44,null,null,37.0186894,127.4809059,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155501,20260307141523,20260307144209,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,1,F,채비
음성(남이) 휴게소,ME178017,02,06,충청북도 음성군 삼성면 용성리 산 44,null,null,37.0186894,127.4809059,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155500,20260307135812,20260307140623,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,1,F,채비
죽암(서울) 휴게소,ME178019,01,06,충청북도 청주시 서원구 현도면 경부고속도로 290,null,null,36.4957964,127.4308677,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155312,20260307111946,20260307115542,,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,1,F,채비
죽암(서울) 휴게소,ME178019,02,06,충청북도 청주시 서원구 현도면 경부고속도로 290,null,null,36.4957964,127.4308677,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155317,20260307145551,20260307152512,20260307153738,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,1,F,채비
청주(서울) 휴게소,ME178020,01,06,충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리),null,null,36.7162491,127.3487936,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155339,20260307140903,20260307145209,,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,1,F,채비
황간(서울) 휴게소,ME178022,01,06,충청북도 영동군 황간면 회포1길 65 (회포리),null,null,36.2485222,127.8546968,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155658,20260307114436,20260307121530,,,50,단독,43,43740,C0,C001,Y,,N,,N,,N,2017,1,F,채비
황간(서울) 휴게소,ME178022,02,06,충청북도 영동군 황간면 회포1길 65 (회포리),null,null,36.2485222,127.8546968,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155658,20260307145337,20260307153723,,,50,단독,43,43740,C0,C001,Y,,N,,N,,N,2017,1,F,채비
함평천지(서울) 휴게소,ME178024,01,06,전라남도 함평군 함평읍 서해안고속도로 38 (죽암리),null,null,35.1295648,126.4818537,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155458,20260307143528,20260307151044,20260307153413,,50,단독,46,46860,C0,C001,Y,,N,,N,,N,2017,1,F,채비
함평천지(서울) 휴게소,ME178024,02,06,전라남도 함평군 함평읍 서해안고속도로 38 (죽암리),null,null,35.1295648,126.4818537,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155648,20260307144658,20260307153003,20260307153143,,50,단독,46,46860,C0,C001,Y,,N,,N,,N,2017,1,F,채비
고창고인돌(목포) 휴게소,ME178025,01,06,전북특별자치도 고창군 고창읍 서해안고속도로 81 (벽송리),null,null,35.4690375,126.6742688,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155628,20260307132731,20260307133951,20260307154726,,50,단독,52,52790,C0,C001,Y,,N,,N,,N,2017,1,F,채비
고창고인돌(목포) 휴게소,ME178025,02,06,전북특별자치도 고창군 고창읍 서해안고속도로 81 (벽송리),null,null,35.4690375,126.6742688,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155221,20260301163424,20260301172030,,,50,단독,52,52790,C0,C001,Y,,N,,N,,N,2017,1,F,채비
대천(목포) 휴게소,ME178027,01,06,충청남도 보령시 주교면 서해안고속도로 199 (주교리),null,null,36.3725548,126.556007,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155617,20260217133038,20260217140108,,,50,단독,44,44180,C0,C001,Y,,N,,N,,N,2017,1,F,채비
대천(서울) 휴게소,ME178028,01,06,충청남도 보령시 주교면 서해안고속도로 200 (주교리),null,null,36.3737327,126.557557,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155254,20260307091115,20260307094541,20260307153231,,50,단독,44,44180,C0,C001,Y,,N,,N,,N,2017,1,F,채비
서천(서울) 휴게소,ME178031,01,06,충청남도 서천군 비인면 서해안고속도로 168 (성산리),null,null,36.1320831,126.6275272,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155513,20260307151625,20260307154136,,,50,단독,44,44770,C0,C001,Y,,N,,N,,N,2017,1,F,채비
서천(서울) 휴게소,ME178031,02,06,충청남도 서천군 비인면 서해안고속도로 168 (성산리),null,null,36.1320831,126.6275272,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155248,20260302183909,20260302190735,,,50,단독,44,44770,C0,C001,Y,,N,,N,,N,2017,1,F,채비
홍성(목포) 휴게소,ME178032,01,06,충청남도 홍성군 은하면 서해안고속도로 221 (금국리),null,null,36.5520256,126.579626,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20260307065810,20260307054347,20260307062412,,,50,단독,44,44800,C0,C001,Y,,N,,N,,N,2017,1,F,채비
이서(순천) 휴게소,ME178038,01,06,전북특별자치도 완주군 이서면 호남고속도로 161 (은교리),null,null,35.8034454,127.0240566,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155244,20260307123910,20260307131235,,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,1,F,채비
이서(순천) 휴게소,ME178038,02,06,전북특별자치도 완주군 이서면 호남고속도로 161 (은교리),null,null,35.8034454,127.0240566,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155701,20260307140948,20260307145135,20260307153825,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,1,F,채비
이서(천안) 휴게소,ME178039,01,06,전북특별자치도 완주군 이서면 호남고속도로 162 (은교리),null,null,35.802184,127.0258792,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155535,20260307150202,20260307151753,20260307154532,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,1,F,채비
이서(천안) 휴게소,ME178039,02,06,전북특별자치도 완주군 이서면 호남고속도로 162 (은교리),null,null,35.802184,127.0258792,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155508,20260307145441,20260307152948,,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,1,F,채비
정읍녹두장군(천안) 휴게소,ME178040,01,06,전북특별자치도 정읍시 북면 하북1길 227-17 (남산리),null,null,35.6005769,126.8646591,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155407,20260307144330,20260307150411,20260307152401,,50,단독,52,52180,C0,C001,Y,,N,,N,,N,2017,1,F,채비
정읍녹두장군(순천) 휴게소,ME178041,01,06,전북특별자치도 정읍시 북면 정신로 135-61 (남산리),null,null,35.6015871,126.8626805,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155707,20260307145205,20260307150351,20260307154427,,50,단독,52,52180,C0,C001,Y,,N,,N,,N,2017,1,F,채비
벌곡(논산) 휴게소,ME178042,01,06,충청남도 논산시 호남지선고속도로 25,null,null,36.2175076,127.2740754,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155520,20260307150902,20260307154247,,,50,단독,44,44230,C0,C001,Y,,N,,N,,N,2017,1,F,채비
이천(남이) 휴게소,ME178043,01,06,경기도 이천시 마장면 중부대로609번길 244-35 (목리),null,null,37.2651225,127.4032213,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155420,20260307115506,20260307121926,,,50,단독,41,41500,C0,C001,Y,,N,,N,,N,2017,1,F,채비
음성(하남) 휴게소,ME178045,01,06,충청북도 음성군 삼성면 중부고속도로 52 (양덕리),null,null,37.0227527,127.4844255,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155644,20260306184012,20260306191346,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,1,F,채비
음성(하남) 휴게소,ME178045,02,06,충청북도 음성군 삼성면 중부고속도로 52 (양덕리),null,null,37.0227527,127.4844255,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155508,20260306175037,20260306181628,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,1,F,채비
건천(부산) 휴게소,ME178046,01,06,경상북도 경주시 건천읍 경부고속도로 77 (방내리),null,null,35.830231,129.1099622,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155638,20260307141022,20260307144104,,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
건천(서울) 휴게소,ME178047,01,06,경상북도 경주시 건천읍 경부고속도로 76 (방내리),null,null,35.8317384,129.1086245,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155621,20260307153452,20260307153553,20260307155612,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
고성공룡나라(통영) 휴게소,ME178048,01,06,경상남도 고성군 대가면 통영대전고속도로 29 (송계리),null,null,35.0515247,128.2640664,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155421,20260307145413,20260307151559,,,50,단독,48,48820,C0,C001,Y,,N,,N,,N,2017,1,F,채비
고성공룡나라(대전) 휴게소,ME178049,01,06,경상남도 고성군 대가면 통영대전고속도로 32 (신전리),null,null,35.0570523,128.2513447,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155450,20260304210149,20260304214453,,,50,단독,48,48820,C0,C001,Y,,N,,N,,N,2017,1,F,채비
금산인삼랜드(대전) 휴게소,ME178055,01,06,충청남도 금산군 군북면 대암길 34-30 (외부리),null,null,36.1550665,127.4964759,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155705,20260307150652,20260307152438,20260307153933,,50,단독,44,44710,C0,C001,Y,,N,,N,,N,2017,1,F,채비
함양(통영) 휴게소,ME178056,01,06,경상남도 함양군 지곡면 효산길 23-31 (보산리),null,null,35.5510049,127.7588744,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155550,20260307135803,20260307141057,20260307154548,,50,단독,48,48870,C0,C001,Y,,N,,N,,N,2017,1,F,채비
함양(대전) 휴게소,ME178057,01,06,경상남도 함양군 지곡면 효산길 23-11 (보산리),null,null,35.5517867,127.7601314,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,3,20260307155616,20260307145559,20260307152557,20260307154118,,50,단독,48,48870,C0,C001,Y,,N,,N,,N,2017,1,F,채비
